Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
407,1,1,1,4,0,3,11,6,4,5,1,0,0,3,2,8,2,2,3,3,5,16,2
575,3,0,1,4,0,2,11,6,6,6,7,2,0,0,2,8,2,2,2,2,5,1,2
425,0,0,1,4,0,1,0,9,6,5,7,0,0,3,2,8,2,10,3,3,5,12,2
425,0,0,1,4,0,3,5,4,6,5,7,2,0,3,2,3,2,2,2,2,0,1,2
425,0,0,1,4,0,0,0,9,4,5,7,0,0,3,2,3,2,10,1,2,5,9,1
283,2,0,1,0,2,0,10,9,6,5,1,0,0,3,2,0,2,9,3,3,5,0,1
283,2,1,1,0,0,5,0,6,4,5,1,2,0,3,2,0,2,2,0,2,5,11,1
450,4,0,1,4,0,0,11,6,0,0,1,0,0,3,2,0,2,2,3,3,5,10,2
450,4,1,1,4,0,2,5,6,6,5,1,0,0,3,2,0,2,12,3,3,5,12,2
450,4,1,1,4,0,3,0,6,4,0,1,0,0,3,2,0,2,2,0,2,5,10,1
720,1,0,0,4,0,3,4,6,1,5,7,0,3,0,4,0,2,2,3,3,5,10,1
720,1,0,1,4,2,2,10,6,4,5,7,0,3,0,4,0,2,2,3,3,5,9,2
720,1,0,1,1,0,1,10,6,6,5,7,0,3,0,4,0,2,2,3,3,5,1,1
947,5,0,1,4,0,4,3,9,1,5,7,0,0,3,2,0,2,2,0,2,5,9,1
947,5,3,1,4,0,1,5,7,1,5,7,0,0,3,2,0,2,2,3,3,5,7,2
308,4,0,1,4,0,1,4,2,4,5,0,0,0,3,2,0,1,3,0,2,5,16,1
148,4,0,1,1,0,2,5,1,6,5,7,0,0,3,2,5,2,1,1,2,5,14,1
148,4,1,1,4,0,3,9,4,4,5,7,0,0,3,2,6,2,7,1,2,5,1,1
498,6,0,1,4,0,1,15,9,6,8,0,0,0,3,2,6,2,2,0,2,5,13,2
278,0,0,1,0,0,1,0,0,4,5,1,0,0,3,2,0,1,2,3,3,5,1,2
323,1,0,1,4,0,1,0,9,3,5,0,0,0,3,2,3,1,2,3,3,5,0,2
472,4,0,1,4,0,3,0,9,4,5,1,0,0,3,2,3,1,3,0,2,5,12,2
318,4,0,1,4,0,4,5,7,4,5,1,0,0,3,2,6,2,7,1,2,5,1,2
318,4,1,2,4,0,1,0,9,6,5,1,0,0,3,2,0,2,9,3,3,5,10,2
244,2,2,1,4,0,4,0,10,4,1,2,0,0,3,2,0,2,2,0,2,5,11,2
244,2,0,1,2,0,2,0,10,4,1,2,0,0,3,2,4,2,2,2,2,6,10,2
624,0,0,1,0,0,0,15,6,0,5,0,0,0,0,2,3,2,2,3,3,5,12,2
375,3,2,1,2,0,4,0,5,6,5,1,0,0,3,2,1,2,2,0,2,5,0,2
375,3,1,1,2,0,4,8,9,6,5,1,0,0,3,2,8,2,2,3,3,5,3,2
685,3,0,1,2,0,1,0,6,4,5,1,0,0,0,2,1,2,2,0,2,5,12,2
994,6,0,1,4,0,3,9,6,2,7,7,0,0,3,2,8,2,2,2,2,1,10,2
994,6,0,1,4,0,3,10,6,2,0,7,3,0,3,2,2,2,2,0,2,5,1,2
283,0,1,1,4,0,2,4,7,4,7,7,0,0,3,2,8,1,2,3,3,5,1,1
67,0,1,1,4,0,0,14,7,4,5,0,0,0,3,2,8,2,2,3,3,5,2,2
67,0,1,1,5,0,4,12,9,2,5,0,0,0,3,2,8,2,2,0,2,5,10,2
481,1,0,1,4,0,4,14,7,2,5,0,0,0,3,2,6,2,2,3,3,5,1,2
481,1,0,1,2,0,1,0,7,4,6,0,0,0,3,2,8,2,2,0,1,5,0,2
531,5,0,1,4,2,0,0,7,2,5,3,0,0,3,2,8,2,2,0,2,5,7,2
531,5,1,1,4,0,2,7,7,4,5,3,0,0,3,2,8,2,2,3,3,5,13,2
120,2,2,1,1,0,1,15,7,0,6,1,0,0,3,2,1,2,2,0,2,5,13,2
120,2,1,1,1,2,2,0,7,2,5,1,0,0,3,2,8,2,2,0,2,5,10,2
120,2,1,1,4,0,3,14,2,2,5,1,0,0,3,2,2,2,2,3,3,5,12,2
120,2,0,2,4,0,2,0,7,4,5,1,0,0,3,2,8,2,2,1,2,5,16,2
220,4,0,1,2,0,2,9,4,2,5,1,0,0,3,2,6,2,2,0,2,5,11,2
172,5,0,2,4,0,3,0,7,2,5,5,0,3,3,4,8,2,2,3,3,5,1,2
163,0,1,1,4,0,0,11,4,0,5,7,0,0,3,2,8,2,2,3,3,5,16,2
400,3,1,1,1,0,2,9,3,2,5,7,0,0,3,2,8,2,2,3,3,5,4,2
487,1,4,0,4,0,2,9,6,1,5,1,2,0,3,2,8,2,2,1,2,5,2,2
487,1,1,1,4,0,3,0,2,4,5,1,0,0,3,2,2,2,2,1,2,5,19,2
233,6,0,1,4,0,1,5,7,2,0,1,3,0,3,2,8,2,2,3,3,5,13,2
233,6,1,1,1,1,2,9,6,4,5,1,0,0,3,2,8,2,2,0,2,5,12,2
506,1,1,1,4,3,2,0,7,0,3,0,0,0,0,2,2,2,2,3,3,5,11,2
91,4,1,1,4,0,2,0,6,4,6,1,2,0,3,2,8,1,2,0,2,5,16,2
91,4,1,1,1,0,3,0,9,4,5,1,0,0,3,2,8,1,2,0,2,5,3,2
91,4,1,1,4,0,2,9,6,0,5,1,0,0,3,2,8,1,2,0,2,5,11,2
344,5,2,1,1,0,0,4,6,4,7,1,0,0,3,2,8,1,9,2,2,5,1,1
599,3,3,1,2,2,1,0,2,4,5,7,0,0,0,2,8,2,2,3,3,5,1,2
509,6,1,1,4,0,0,4,4,4,5,0,0,3,0,2,1,2,2,0,2,5,0,1
509,6,1,1,4,0,0,5,6,0,5,0,0,3,0,2,2,2,2,0,1,5,17,1
344,3,2,1,0,2,1,8,2,4,5,5,0,0,3,2,2,1,2,3,3,5,3,2
741,6,2,2,1,2,1,14,6,6,5,0,0,0,0,2,6,2,2,0,2,5,3,2
741,6,2,1,4,0,0,7,9,2,5,0,0,0,0,2,8,2,2,3,3,5,0,2
911,1,0,2,4,0,4,4,9,4,5,7,0,0,3,2,8,2,2,0,2,5,1,1
312,3,1,1,4,0,2,0,6,0,5,1,0,0,3,2,8,2,7,0,2,5,9,0
312,3,1,1,4,0,3,5,7,2,5,1,2,0,3,2,8,2,2,0,2,5,9,0
340,1,0,1,1,0,1,7,7,2,5,1,0,0,3,2,8,2,3,3,3,5,10,2
340,1,0,1,1,2,3,5,9,2,5,1,0,0,3,2,8,2,3,3,3,5,10,2
1019,3,2,1,4,0,0,0,2,2,5,0,0,0,3,2,2,2,2,0,2,5,10,2
1019,3,2,1,4,0,2,8,2,0,5,0,0,0,3,2,8,2,2,3,3,5,11,2
440,4,0,1,4,0,1,5,9,0,5,7,4,0,3,2,8,3,2,3,3,5,3,2
440,4,0,1,4,0,1,10,6,2,6,7,3,0,3,2,8,3,2,3,3,5,1,2
440,4,1,1,4,0,1,3,6,2,6,7,3,0,3,2,8,3,2,0,2,5,0,2
640,3,0,2,4,0,1,0,9,2,5,1,0,0,0,2,1,2,2,0,1,5,3,2
640,3,2,1,4,0,3,0,2,6,5,1,0,0,0,2,8,2,2,0,2,5,3,2
669,4,0,1,4,0,3,7,7,2,5,7,2,0,0,2,8,2,2,0,2,5,10,2
318,1,1,2,4,0,3,7,2,4,5,0,0,0,3,2,8,1,2,0,1,5,17,2
747,4,3,1,4,0,2,7,7,4,5,1,0,0,2,2,8,1,2,3,3,5,2,1
747,4,3,1,4,0,3,9,7,1,5,1,0,0,2,2,8,1,2,0,1,5,12,1
747,4,3,1,1,0,4,5,9,2,5,1,0,0,2,2,8,1,2,3,3,5,11,1
747,4,3,1,1,0,2,7,6,1,5,1,0,0,2,2,8,1,2,3,3,5,12,1
599,1,2,1,1,0,0,9,4,2,5,7,0,0,1,2,8,3,9,3,3,5,13,2
599,1,1,2,1,0,2,7,9,0,5,7,0,0,1,2,8,3,2,0,2,5,13,2
599,1,1,1,1,0,2,4,6,5,5,7,0,0,1,2,8,3,2,3,3,5,9,2
457,0,1,1,1,0,2,7,2,6,5,0,0,0,3,2,8,2,3,0,2,5,9,2
405,0,0,1,4,0,3,8,1,1,5,1,0,0,3,2,8,1,3,0,2,5,3,2
580,2,4,0,4,0,3,0,0,4,5,0,0,0,0,2,2,2,9,3,3,5,10,2
580,2,0,2,1,0,4,7,7,2,5,0,0,0,0,2,8,2,2,3,3,5,13,2
580,2,0,1,1,0,2,5,7,2,5,0,0,0,0,2,8,2,2,0,2,5,1,2
492,6,1,1,1,0,1,0,7,2,5,1,0,3,0,4,2,2,2,0,2,5,3,2
