Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
182,1,0,1,4,0,4,0,6,4,5,1,0,3,3,4,8,1,2,3,3,5,10,2
551,4,0,1,2,2,1,15,6,2,5,7,0,0,3,2,8,2,2,0,2,5,12,2
74,2,1,1,4,0,3,7,6,1,5,1,0,0,3,2,8,2,2,3,3,5,3,2
348,0,0,1,2,0,0,11,9,4,5,7,0,0,3,2,8,3,3,0,2,5,12,1
13,0,4,1,4,2,3,14,1,6,5,7,0,0,0,2,2,2,2,3,3,5,10,2
759,4,0,1,4,0,2,13,6,2,5,7,0,3,0,2,8,1,2,1,2,5,0,2
403,1,0,1,2,0,4,4,2,4,5,7,0,3,3,4,8,2,2,0,2,5,13,2
626,5,1,1,4,0,1,3,6,2,5,0,0,3,0,4,8,2,5,3,3,5,0,2
416,3,1,1,4,0,3,0,6,2,7,7,0,0,3,2,8,2,2,0,2,5,0,2
572,0,4,0,4,0,4,7,9,2,5,5,0,0,0,2,8,1,2,0,1,5,10,2
244,6,0,1,4,0,1,11,7,6,5,0,0,0,0,2,2,4,2,0,2,5,10,2
425,2,1,1,4,2,2,6,2,6,5,1,0,3,3,4,8,2,2,0,2,5,12,2
380,1,4,1,4,0,1,9,2,6,5,4,0,0,3,2,8,2,2,3,3,5,18,2
7,2,0,1,2,2,3,5,7,2,5,1,0,0,0,2,8,3,2,3,3,5,10,1
331,6,1,1,4,0,1,5,9,0,5,7,4,3,3,2,8,2,2,0,2,5,1,2
1027,6,1,1,4,0,1,10,7,2,6,1,0,0,3,2,2,2,4,3,3,5,1,2
200,5,1,1,4,0,1,0,9,4,6,7,0,0,3,2,8,2,2,3,3,5,3,1
181,3,0,1,4,2,4,9,6,0,5,7,0,3,3,4,8,2,2,0,2,5,6,2
674,5,0,1,4,2,4,3,7,2,5,7,0,0,0,2,8,2,9,0,2,5,12,1
